EventId,EventTemplate,Occurrences
09a53393,Receiving block <*> src: <*> dest: <*>,455
3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,177
dc2c74b7,PacketResponder <*> for block <*> terminating,12
e3df2680,Received block <*> of size <*> from <*>,12
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,19
b8f2df12,Received block blk_-1608999687919862906 src: <*> dest: <*> of size 91178,7
8aef43d5,<*> block blk_-1608999687919862906 to <*>,4
8938cce8,<*> Starting thread to transfer block blk_-1608999687919862906 to <*> <*>,3
6ce2ee8f,BLOCK* ask <*> to replicate blk_-1608999687919862906 to datanode(s) <*> <*>,3
626085d5,<*> Served block <*> to <*>,306
f4d1db9e,BLOCK* ask 10.251.31.5:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.90.64:50010,1
98a1c2e5,10.251.31.5:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.90.64:50010,1
