EventId,EventTemplate,Occurrences
09a53393,Receiving block <*> src: <*> dest: <*>,1723232
3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,575061
d38aa58d,PacketResponder <*> for block <*> <*>,1706728
e3df2680,Received block <*> of size <*> from <*>,1706514
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,1719741
d6b7b743,Received block <*> src: <*> dest: <*> of size <*>,7097
8aef43d5,<*> block blk_-1608999687919862906 to <*>,4
6ba1b4fb,<*> Starting thread to transfer block <*> to <*> <*>,165
54e5f6b4,BLOCK* ask <*> to replicate <*> to datanode(s) <*> <*>,165
626085d5,<*> Served block <*> to <*>,428726
728076ac,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,6837
40651754,<*> Starting thread to transfer block <*> to <*>,6837
32777b38,Verification succeeded for <*>,120036
ace40671,writeBlock <*> received exception <*>,67
e817fa45,PacketResponder <*> 2 Exception java.io.EOFException,19
bcc910df,writeBlock <*> received exception java.io.IOException: Could not read from stream,3226
e7f7aecf,10.251.43.21:50010:Transmitted block <*> to <*>,39
dba996ef,Deleting block <*> file <*>,1402047
0567184d,Receiving empty packet for block <*>,1464
0c931542,<*> block <*> to /10.250.7.230:50010,36
5cd2b741,10.251.123.20:50010:Transmitted block <*> to <*>,35
b0aeb5a9,<*> block <*> to /10.251.65.203:50010,45
0f007b51,<*> block <*> to /10.251.106.214:50010,42
5b926977,<*> block <*> to /10.251.126.22:50010,42
f98316e6,10.251.65.237:50010:Transmitted block <*> to <*>,37
87a2a229,<*> block <*> to /10.251.203.179:50010,36
11b50198,10.250.15.240:50010:Transmitted block <*> to <*>,32
d69af4d9,<*> block <*> to /10.250.11.53:50010,32
75086cd0,<*> block <*> to /10.251.127.191:50010,26
f57b0f16,10.251.122.65:50010:Transmitted block <*> to <*>,33
679647cd,<*> block <*> to /10.251.30.179:50010,42
4654f7f3,10.251.42.16:50010:Transmitted block <*> to <*>,34
69bca6e5,Exception in receiveBlock for block <*> java.io.IOException: Connection reset by peer,75
d013b7a3,writeBlock <*> received exception java.io.IOException: Connection reset by peer,75
885714b4,10.250.10.213:50010:Transmitted block <*> to <*>,29
d8c816ba,10.251.90.64:50010:Transmitted block <*> to <*>,23
1c4dbf56,<*> block <*> to /10.251.42.207:50010,32
eeb18602,<*> block <*> to /10.251.74.79:50010,34
07819ef5,10.251.39.179:50010:Transmitted block <*> to <*>,44
0880ea19,<*> block <*> to /10.250.13.240:50010,34
c294d20f,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for <*> on <*> size <*>,975
6b6fa07f,10.250.10.223:50010:Transmitted block <*> to <*>,34
1f232ebd,<*> block <*> to /10.250.18.114:50010,28
1b31e02a,PacketResponder <*> <*> Exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected <*> <*>,22
f6fa9369,PacketResponder <*> <*> Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,33
f266840a,Exception in receiveBlock for block <*> <*>,56
15b484af,Changing block file offset of block <*> from 0 to <*> meta file offset to <*>,65
a8d2bbfe,<*> block <*> to /10.251.199.225:50010,33
f76c6ad4,<*> block <*> to /10.251.195.52:50010,42
d9060841,10.251.70.211:50010:Transmitted block <*> to <*>,35
e8fd08ce,10.251.111.209:50010:Transmitted block <*> to <*>,28
69a72093,10.251.67.211:50010:Transmitted block <*> to <*>,38
b055226b,<*> block <*> to /10.251.38.197:50010,39
c4c327b6,10.250.19.16:50010:Transmitted block <*> to <*>,42
7610b9b7,10.251.197.161:50010:Transmitted block <*> to <*>,32
d4a51c33,<*> block <*> to /10.251.70.5:50010,22
e7765fc7,<*> block <*> to /10.251.91.32:50010,33
e9eb5bbf,<*> block <*> to /10.251.123.1:50010,33
dbe79136,10.250.11.53:50010:Transmitted block <*> to <*>,27
db919a6d,<*> block <*> to /10.251.214.130:50010,30
ad66bb87,10.251.27.63:50010:Transmitted block <*> to <*>,28
6c86b9a6,10.251.30.6:50010:Transmitted block <*> to <*>,41
7b08e7b0,10.250.11.85:50010:Transmitted block <*> to <*>,29
a9a95c6f,<*> block <*> to /10.251.214.18:50010,35
8f0f6da4,<*> block <*> to /10.251.66.102:50010,34
88312015,10.251.67.225:50010:Transmitted block <*> to <*>,29
0feeae59,10.251.198.196:50010:Transmitted block <*> to <*>,31
e193d1b9,10.251.66.102:50010:Transmitted block <*> to <*>,33
37be5ead,<*> block <*> to /10.251.127.243:50010,34
5e50cf8a,10.251.89.155:50010:Transmitted block <*> to <*>,33
f28c97c7,<*> block <*> to /10.251.74.227:50010,36
76969a59,<*> block <*> to /10.251.194.245:50010,41
3b9d907e,<*> block <*> to /10.251.107.98:50010,31
df4257de,10.251.39.242:50010:Transmitted block <*> to <*>,42
1a1cfad7,<*> writing block <*> to mirror <*>,34
6636078e,Exception in receiveBlock for block <*> java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,16
c91862e6,writeBlock <*> received exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,7
2ecc047e,PacketResponder <*> <*> Exception java.io.IOException: Broken pipe,6
40c285db,10.251.195.52:50010:Transmitted block <*> to <*>,36
